Article Title,Author Keywords,Publication Date,Publication Year,
Melatonin improves periodontitis-induced kidney damages by decreasing inflammatory stress and apoptosis in rats,experimental periodontitis; kidney; matrix metalloproteinase(s); melatonin; oxidative stress; periodontal-systemic disease interactions,,,
Evaluation of a questionnaire-based diabetes screening concept in German patients with Stage 3 or 4 periodontitis - A practice-based study,diabetes mellitus; periodontal medicine; periodontitis,,,
Interproximal attachment gain: The challenge of periodontal regeneration,connective tissue graft(s); gingival recession; growth factors; periodontal regeneration; plastic periodontal surgery,,,
"Maternal periodontal status, oral inflammatory load, and systemic inflammation are associated with low infant birth weight",C-reactive protein; fluorescence microscopy; low birth weight; neutrophils; periodontitis; pregnancy,,,
Healing of donor sites of connective tissue grafts harvested by the single incision technique. A randomized clinical trial evaluating the use of collagen hemostatic sponge with or without sutures,palate; plastic surgery; transplants; wound healing,,,
Clinical evaluation of impact of periodontal phenotype on the outcome of open flap debridement in patients with chronic periodontitis: A comparative interventional study,chronic periodontitis; clinical attachment level; flap; periodontal phenotype; surgical procedure,,,
Utility of procalcitonin as an early diagnostic marker of bacteremia in individuals with Periodontitis Stage II and III,antibiotics; periodontits; procalcitonin; saliva; serum,,,
Impact of adjunctive procedures on recombinant human fibroblast growth factor (rhFGF-2) mediated periodontal regeneration therapy: A retrospective study,bone graft(s); bone regeneration; periodontal regeneration; periodontitis,,,
Peri-implant marginal mucosa defects: Classification and clinical management,clinical decision-making; dental implant; oral mucosa; plastic surgery,,,
Leucine-rich alpha-2 glycoprotein (LRG): A novel acute phase protein expressed in stage 3 grade C periodontitis before and after periodontal therapy,gingival crevicular fluid; interleukin-6; leucine-rich alpha-2 glycoprotein; periodontitis; serum; tumor necrosis factor-alpha,JAN,2021,
Comparisons of various anthropometric indexes with localized Stage II/III periodontitis in young adults: The CHIEF oral health study,body mass index; localized periodontitis; waist circumference; waist to height ratio; young adults,,,
Evaluation of length and location of the maxillary sinus intraosseous artery using computerized tomography,complications; cone-beam computed tomography; dental implants; maxillary sinus augmentation,,,
Porphyromonas gingivalis infection alters Nrf2-Phase II enzymes and nitric oxide in primary human aortic endothelial cells,GSK-3&#946; NOS; Nrf2; P; gingivalis; periodontal disease; primary human aortic endothelial cells,,,
AAP President's Address,,DEC,2020,
Diagnostic potential of peri-implant crevicular fluid microRNA-21-3p and microRNA-150-5p and extracellular vesicles in peri-implant diseases,extracellular vesicles; microRNAs; peri-implant mucositis; peri-implantitis,,,
Inhibition of yes-associated protein dephosphorylation prevents aggravated periodontitis with occlusal trauma,bone resorption; dental occlusion; JNK mitogen-activated protein kinases; periodontitis; yes-associated protein,,,
Do periodontal defects affect periodontal inflammation and destruction? -Histological/microbiological changes and gene expression profiles of a pilot study in beagle dogs,dental plaque; gingivitis; periodontal disease; periodontal pocket; periodontitis,,,
"Repeated delivery of chlorhexidine chips for the treatment of periimplantitis: A multicenter, randomized, comparative clinical trial",clinical trial(s); drug delivery; implantology; infection control; local antimicrobial therapy,JAN,2021,
Impact of mucosal phenotype on marginal bone levels around tissue level implants: A prospective controlled trial,phenotype; dental implant; soft tissue therapy; peri-implant endosseous healing; alveolar bone loss,,,
Extending the vitamin D pathway to vitamin D-3 and CYP27A1 in periodontal ligament cells,cholestanetriol 26-monooxygenase; periodontal ligament; vitamin D,,,
"Clinical, radiographic and patient-centered outcomes after use of enamel matrix proteins for the treatment of intrabony defects in patients with aggressive periodontitis: A 12-month multicenter clinical trial",aggressive periodontitis; alveolar bone loss; chronic periodontitis; enamel matrix proteins,,,
"Proteinase bone morphogenetic protein 1, but not tolloid-like 1, plays a dominant role in maintaining periodontal homeostasis",alveolar bone; collagen; dental cementum; extracellular matrix; metalloproteases; periodontium,,,
"Metallothionein levels in gingival crevicular fluid, saliva and serum of smokers and non-smokers with chronic periodontitis",antioxidants; chronic periodontitis; gingival crevicular fluid; metallothionein; serum; smoking,,,
On the value of the 2017 classification of phenotype and gingival recessions,classification; clinical protocols; gingiva; gingival recession; plastic; surgery,,,
Independent impact of periodontitis and cardiovascular disease on elevated soluble urokinase-type plasminogen activator receptor (suPAR) levels,cardiovascular diseases; C-reactive protein; periodontitis; plasminogen activators; saliva; serum,,,
Evaluation of the need to prescribe opioid medication to control post-surgical pain of different periodontal/oral surgeries,opioids; over the counter analgesics; post-surgical pain,,,
Quantile regression to estimate the survivor average causal effect (SACE) of periodontal treatment effects on birthweight and gestational age,causality; low birthweight; periodontal disease; periodontal treatment; preterm birth; selection bias,,,
"Role of YAP1 gene in proliferation, osteogenic differentiation, and apoptosis of human periodontal ligament stem cells induced by TNF-alpha",apoptosis; gene expression; inflammation and innate immunity; periodontitis,,,
Subgingival microbiome is associated with alveolar bone loss measured 5-years later in postmenopausal women,alveolar bone loss; longitudinal study; oral microbiome; periodontal disease; women,,,
The role of PHF8 and TLR4 in osteogenic differentiation of periodontal ligament cells in inflammatory environment,histone demethylases; inflammation; osteogenesis; periodontal ligament; toll-like receptor 4,,,
C-reactive protein levels are associated with periodontitis and periodontal inflamed surface area in adults with end-stage renal disease,chronic; kidney failure; periodontal diseases; periodontitis; renal dialysis,,,
Association of periodontitis with leukocyte telomere length in US adults: A cross-sectional analysis of NHANES 1999 to 2002,nutrition surveys; periodontitis; telomere,,,
"Application of enamel matrix derivative in conjunction with non-surgical therapy for treatment of moderate to severe periodontitis: A 12-month, randomized prospective, multicenter study",biomimetics; dental enamel proteins; dental scaling; periodontal debridement; periodontitis; root planing,,,
Clinical and patient-centered outcomes using two types of subepithelial connective tissue grafts: A split-mouth randomized clinical trial,connective tissue; gingival recession; patient outcome assessment; randomized controlled trial,,,
Clinical sequelae and patients' perception of dental implant removal: A cross-sectional study,dental implant; patient satisfaction; peri-implantitis; quality of life; retreatment,,,
Bone demineralization improves onlay graft consolidation: A histological study in rat calvaria,bone regeneration; bone transplantation; citric acid; tetracycline,,,
Clinical and volumetric analysis of peri-implant soft tissue augmentation using an acellular dermal matrix: A prospective cohort study,acellular dermal matrix; dental implants; soft tissue augmentation,,,
Impact of different surgical protocols on dimensional changes of free soft tissue autografts. A randomized controlled trial,autografts; autologous transplantation; free tissue flaps; gingiva; gingival recession,JAN,2021,
The treatment response of barrier membrane with amoxicillin-loaded nanofibers in experimental periodontitis,antibacterial agents; guided tissue regeneration; nanofibers; periodontal; periodontitis,,,
Analyzing the predictability of the kwok and caton periodontal prognosis system: A retrospective study,dentistry; diagnosis; periodontitis; prognosis; risk factor(s),,,
Microbiome changes in young periodontitis patients treated with adjunctive metronidazole and amoxicillin,anti-bacterial agents; bacteria; high-throughput nucleotide sequencing; microbiota; periodontitis; therapeutics,,,
Evaluation of poly lactic-co-glycolic acid-coated beta-tricalcium phosphate for alveolar ridge preservation: A multicenter randomized controlled trial,alveolar bone grafting; alveolar process; cone-beam computed tomography; dental implantation; histology,,,
Elevated neutrophil-to-lymphocyte ratio but not platelet-to-lymphocyte ratio is associated with generalized aggressive periodontitis in a Chinese population,neutrophil-to-lymphocyte ratio; periodontal diseases; periodontitis; platelet-to-lymphocyte ratio,,,
Metronidazole and amoxicillin for patients with periodontitis and diabetes mellitus: 5 years secondary analysis of a randomized controlled trial,diabetes mellitus; microbiology; periodontitis,,,
Effectiveness and surface changes of different decontamination protocols at smooth and minimally rough titanium surfaces,experimental design; implantology; microbiology,,,
Integrative mRNA/miRNA expression analysis in healing human gingiva,gingiva; microRNAs; sequence analysis; transcriptome; wound healing,,,
Early pregnancy levels of gingival crevicular fluid matrix metalloproteinases-8 and-9 are associated with the severity of periodontitis and the development of gestational diabetes mellitus,biomarkers; diabetes; gestational; gingival crevicular fluid; metalloproteinases; periodontitis,FEB,2021,
Patient experience of autogenous soft tissue grafting has an implication for future treatment: A 10 to 15-year cross-sectional study,autogenous grafts; gingival recession; long-term memory; pain; patient reported outcome measures; soft palate tissue harvesting,,,
Validation in a Brazilian population of gene markers of periodontitis previously investigated by GWAS and bioinformatic studies,genetic risk; interleukin; neuropeptide Y; periodontal disease; single nucleotide polymorphism,,,
The symposium honoring Dr. Steven Offenbacher: Four decades of research contributions to periodontal medicine,,OCT,2020,
"IN MEMORIAM Steven Offenbacher, DDS, PhD, MMSc: The gifts of a giant in science and the father of periodontal medicine",,OCT,2020,
Dr. Steven Offenbacher's Research Legacy,,OCT,2020,
Association between obesity and periodontitis in Australian adults: A single mediation analysis,mediation analysis; obesity; periodontitis; periodontitis; public health; risk factor,,,
"Citric acid, but not tetracycline, improves the microscopic pattern of healing of particulate autogenous bone grafts in critical-size defects",bone grafts; bone regeneration; citric acid; tetracycline,,,
Influence of restorative design on the progression of peri-implant bone loss: A retrospective study,alveolar bone loss; dental implants; disease management; disease progression; peri-implantitis,,,
Decontamination of rough implant surfaces colonized by multispecies oral biofilm by application of leukocyte- and platelet-rich fibrin,biofilm; blood platelets; peri-implantitis; platelet-rich fibrin; titanium,,,
Local promotion of B cells (B10) function alleviates experimental periodontitis bone loss through antagonizing Receptor Activator of NF-KappaB Ligand-expressing neutrophils,B-Lymphocyte; bone resorption; immune response; interleukin-10; periodontal diseases,,,
"Alcoholic beverage consumption, smoking habits, and periodontitis: A cross-sectional investigation of the NutriNet-Sante study",alcoholic beverage consumption; epidemiology; oral health; periodontitis; questionnaires; smoking,,,
Immunohistological composition of peri-implantitis affected tissue around ceramic implants-A pilot study,ceramic; immunohistology; implantology; peri-implantitis; titanium; zirconia,,,
Regeneration of critical-sized mandibular defect using a 3D-printed hydroxyapatite-based scaffold: An exploratory study,bone regeneration; hydroxyapatite; printing; three-dimensional; tissue scaffold,,,
Accuracy of cone-beam computed tomography is limited at implant sites with a thin buccal bone: A laboratory study,alveolar process; cone-beam computed tomography; dental implants; titanium; zirconium,,,
Resveratrol and insulin association reduced alveolar bone loss and produced an antioxidant effect in diabetics rats,diabetes mellitus; experimental model; natural products; oxidative stress; periodontitis; resveratrol,,,
Effect of implant cleaning on titanium particle dissolution and cytocompatibility,biofilms; cellular microenvironment; corrosion; dental implants; peri-implantitis; surface properties; titanium,,,
Effect of connective tissue grafting on buccal bone changes based on cone beam computed tomography scans in the aesthetic zone of single immediate implants: A 1-year randomized controlled trial,cone-beam computed tomography; connective tissue; dental implants; single-tooth,,,
A novel system exploits bone debris for implant osseointegration,autografts; bone graft(s); bone regeneration; dental implantation; implantology,,,
Osteogenic effects of bioabsorbable magnesium implant in rat mandibles and in vitro,alveolar process; alveolar ridge augmentation; biocompatible materials; dental implantation; magnesium; osteogenesis,,,
Reconstructive surgical treatment of isolated deep intrabony defects with guided tissue regeneration using entire papilla preservation technique: A prospective case series,bone regeneration; guided tissue regeneration; microsurgery; periodontal atrophy; periodontitis,,,
"LPCGF and EDTA conditioning of the root surface promotes the adhesion, growth, migration and differentiation of periodontal ligament cells",cell culture; EDTA; growth factors; periodontal ligament; periodontal regeneration,,,
Effect of section thickness on cone beam computed tomography-based measurements of intrabony defects compared with clinical measurements,cone beam computed tomography; diagnosis; periodontitis,,,
Smoking reduces cathelicidin LL-37 and human neutrophil peptide 1-3 levels in the gingival crevicular fluid of patients with periodontitis,alpha-defensins; cathelicidins; cationic antimicrobial peptides; inflammation mediators; periodontitis; smoking,,,
Accuracy of dental calculus detection using digital radiography and image manipulation,dental calculus; dental; digital; periodontal diseases; prognosis; radiography,,,
Effectiveness of a 655-nm InGaAsP diode-laser to detect subgingival calculus in patients with periodontal disease,dental calculus; diagnosis; fluorescence; lasers; periodontitis,,,
Microcurrent electrotherapy improves palatal wound healing: Randomized clinical trial,gingival recession; mucogingival surgery; wound healing; electric stimulation therapy,FEB,2021,
"2,3,5,4 '-Tetrahydroxystilbene-2-O-beta-D-glucoside promotes the effects of dental pulp stem cells on rebuilding periodontal tissues in experimental periodontal defects","2,3,5,4 '-tetrahydroxystilbene-2-O-beta- D-glucoside; periodontal ligament; periodontal regeneration; regeneration; stem cells; x-ray microtomography",FEB,2021,
Topical phenytoin effects on palatal wound healing,biopsy; gingiva; phenytoin; wound healing,,,
Novel and known periodontal pathogens residing in gingival crevicular fluid are associated with rheumatoid arthritis,fluorescent in situ hybridization; gingival crevicular fluid; oral microbiology; periodontitis; Porphyromonas gingivalis; rheumatoid arthritis,,,
Effects of peri-implant infection on serum biochemical analysis,biochemical analysis; infection; inflammation; peri-implant disease; systemic disease,,,
"Claude Nabers, DDS, MSD: A legendary clinician dedicated to periodontics IN MEMORIAM",,DEC,2020,
Laser-assisted regenerative surgical therapy for peri-implantitis: A randomized controlled clinical trial,alveolar bone grafting; bone regeneration; clinical trial; dental implants; lasers; peri-implantitis,,,
Association of chronic periodontitis with prostatic hyperplasia and prostatitis: A population-based cohort study in Taiwan,database; national health programs; periodontitis; prostatic hyperplasia; prostatitis,JAN,2021,
The sufficient cause model framework applied to the periodontitis-systemic diseases link,epidemiology; periodontal-systemic disease link; public health; sufficient cause model,,,
Suppuration as diagnostic criterium of peri-implantitis,dental implants; dental prosthesis; endosseous implantation; peri-implantitis; periodontitis; tooth mobility,FEB,2021,
Prospective study assessing three-dimensional changes of mucosal healing following soft tissue augmentation using free gingival grafts,dental implants; free gingival graft; keratinized mucosa; shrinkage; three-dimensional analysis,,,
Exploring the periodontal disease-ischemic stroke link,atherosclerosis; atrial fibrillation; cerebrovascular disorders; inflammation; ischemic stroke; periodontal disease,OCT,2020,
The vertical course of bone regeneration in maxillary sinus floor augmentations: A histomorphometric analysis of human biopsies,bone regeneration; bone substitutes; histological analysis; maxillary sinus floor elevation,FEB,2021,
Bone grafting history affects soft tissue healing following implant placement,alveolar bone loss; bone regeneration; dental implantation; surgical wound; wound healing,FEB,2021,
Tooth loss and risk of end-stage renal disease: A nationwide cohort study,epidemiology; kidney diseases; oral health; periodontitis; tooth loss,,,
Choosing the left fork: Steven Offenbacher and understanding maternal periodontal disease and adverse pregnancy outcomes,adverse pregnancy outcomes; fetal growth restriction; gestational diabetes; periodontal disease; preeclampsia; preterm birth,OCT,2020,
Self-administered proximal implant-supported hygiene measures and the association to peri-implant conditions,implantology; oral hygiene; plaque control; prosthodontics; risk factor(s); toothbrushing,,,
Acellular dermal matrix for root coverage procedures: 9-year assessment of treated isolated gingival recessions and their adjacent untreated sites,acellular dermis; follow-up study; gingival recession; surgical flaps; tooth root,FEB,2021,
An evidence-based system for the classification and clinical management of non-proximal gingival recession defects,clinical decision-making; gingival recession; phenotype; plastic surgery,,,
Fagerstrom test for nicotine dependence as an indicator in tobacco-related studies in periodontology,nicotine dependence; periodontitis; tobacco consumption,FEB,2021,
Subgingival microbiome and clinical periodontal status in an elderly cohort: The WHICAP ancillary study of oral health,epidemiology; geriatric dentistry; microbiology; periodontitis; risk factor(s),OCT,2020,
Effects of different antidepressant classes on dental implant failure: A retrospective clinical study,atypical antidepressants; atypical antidepressants; dental implants; monoamine oxidase inhibitors; selective serotonin reuptake inhibitors; serotonin and noradrenaline reuptake inhibitors,FEB,2021,
Marginal linear gingival leukoplakia progressing to ring around the collar-An ominous sign of proliferative verrucous leukoplakia,marginal gingival leukoplakia; proliferative verrucous leukoplakia; Ring around the collar; verrucous carcinoma; verrucous hyperplasia,FEB,2021,
Bone loss around implants-is it metallosis?,foreign body response; implant failure; metallosis,FEB,2021,
Association between low bone mineral density and periodontitis in generally healthy perimenopausal women,osteopenia; osteoporosis; periodontitis; postmenopausal,JAN,2021,
Relationship between gingival bleeding and associated factors with reports of verbal bullying in adolescents,bullying; child; gingivitis; observational study; oral health,FEB,2021,
Influence of psychological stress on non-surgical periodontal treatment outcomes in patients with severe chronic periodontitis,chromogranin-A; coping; cortisol; depression; periodontitis; stress,FEB,2021,
The fate of the distal papilla around tooth-bound implant-supported restorations in maxillary central incisor sites,bone; decision making; dental implant; prosthodontics,,,
The added value of periodontal measurements for identification of diabetes among Saudi adults,Diabetes; periodontitis; risk factors,JAN,2021,
Future of preventing and managing common chronic inflammatory diseases,cardiovascular disease; C-reactive protein; inflammation; inflammatory disease; periodontal disease; periodontitis,OCT,2020,
Peri-implant soft tissue phenotype modification and its impact on peri-implant health: A systematic review and network meta-analysis,acellular dermal graft; autogenous grafts; collagen matrix; dental implant; evidence-based dentistry; network meta-analysis; soft tissue augmentation; tissue graft,JAN,2021,
Maintaining barrier function of infected gingival epithelial cells by inhibition of DNA methylation,DNA methylation; epigenetics; gingival epithelia; periodontitis; Porphyromonas gingivalis; transepithelial electrical resistance,OCT,2020,
Disease reciprocity between gingivitis and obesity,collagen; gingivitis; hydroxyproline; metabolomics; obesity,OCT,2020,
Porphyromonas gingivalisand Alzheimer disease: Recent findings and potential therapies,Alzheimer disease; COR388; gingipain; neuroinflammation; periodontitis; Porphyromonas gingivalis,OCT,2020,
Inflammasomes as contributors to periodontal disease,AIM2; alveolar bone loss; caspase inhibitors; caspase-1; IFI16; Ifi204; inflammasome; periodontitis,OCT,2020,
Randomized clinical trial evaluating single maxillary gingival recession treatment with connective tissue graft and tunnel or trapezoidal flap: 2-year follow-up,clinical trial; dentin hypersensitivity; esthetics; dental; gingival recession; surgical flaps,AUG,2020,
The impact of alloplast and allograft on bone homeostasis: Orthodontic tooth movement into regenerated bone,bone regeneration; orthodontics; wound healing,AUG,2020,
"Comparison of Er,Cr:YSGG laser to minimally invasive surgical technique in the treatment of intrabony defects: Six-month results of a multicenter, randomized, controlled study",lasers; oral surgical procedures; periodontics; periodontitis,,,
Demystifying the mist: Sources of microbial bioload in dental aerosols,evidence-based dentistry; infection control; microbiology; saliva,SEP,2020,
"The sialidase inhibitor, DANA, reducesPorphyromonas gingivalispathogenicity and exerts anti-inflammatory effects: An in vitro and in vivo experiment",2-deoxy-2; 3-didehydro-N-acetylneuraminic acid; neuraminidase; periodontitis; Porphyromonas gingivalis,FEB,2021,
A comparative study on immunophenotypic characterization and osteogenic differentiation of human mesenchymal stromal cells derived from periodontal ligament and gingiva,gingiva; mesenchymal stem cell; periodontal ligament; tissue engineering,SEP,2020,
Efficacy of a novel post-foaming dental gel on gingival inflammation: A randomized controlled clinical trial,gingivitis; halitosis; inflammation and innate immunity; oral hygiene antioxidants; periodontitis,DEC,2020,
Influence of collagen membrane on bone quality in titanium meshes reconstructions-Study in rats,bone graft; bone regeneration; guided bone regeneration,DEC,2020,
Adjunctive effects of laser therapy on somatosensory function and vasomotor regulation of periodontal tissues in patients with periodontitis-A randomized controlled clinical trial,blood flow; inflammation; Nd; YAG laser; periodontal somatosensory function; quantitative sensory testing,OCT,2020,
Cyclic tensile forces enhance the angiogenic properties of HUVECs by promoting the activities of human periodontal ligament cells,angiogenesis; cyclic tensile forces; human PDL cells; human umbilical vein endothelial cells,JAN,2021,
Further evidence on the relationship between abdominal aortic aneurysm and periodontitis: A cross-sectional study,cardiovascular disease; microbiology; oral medicine; periodontal-systemic disease interactions; periodontitis,NOV,2020,
Well-maintained patients with a history of periodontitis still harbor a more disbiotic microbiome than health,classification model; microbial risk; microbiology; well-maintained periodontitis,DEC,2020,
Soft tissue healing around platform-switching and platform-matching single implants: A randomized clinical trial,cytokines; dental implant-abutment design; dental implants; gene expression,DEC,2020,
A novel multi-locus genetic risk score identifies patients with higher risk of generalized aggressive periodontitis,aggressive periodontitis; genetic risk score; SNP,JUL,2020,
Evidence linking the role of periodontal viruses in coronary artery disease with and without periodontitis,cardiovascular disease(s); cytomegalo virus; herpes simplex virus; periodontal medicine; periodontal-systemics disease interactions; periodontiti,JAN,2021,
"Periodontal conditions, retinopathy, and serum markers in individuals with type 1 diabetes",diabetes immunology; periodontal-systemic disease interactions; periodontitis,NOV,2020,
Boldine inhibits the alveolar bone resorption during ligature-induced periodontitis by modulating the Th17/Treg imbalance,boldine; periodontitis; T-lymphocytes; alveolar bone loss; RANKL protein,JAN,2021,
Biologically informed stratification of periodontal disease holds the key to achieving precision oral health,genomics; GWAS; periodontal disease; precision medicine; risk assessment,OCT,2020,
Correlation between alveolar bone morphology and volumetric dimensional changes in immediate maxillary implant placement: A 1-year prospective cohort study,alveolar bone loss; alveolar ridge augmentation; dental implants; three-dimensional imaging; treatment outcome; wound healing,SEP,2020,
Periodontal disease classifications and incident coronary heart disease in the Atherosclerosis Risk in Communities study,congestive heart failure; coronary heart disease; epidemiology; humans; incidence; incident disease; inflammation; myocardial infarction; periodontal disease; tooth loss,NOV,2020,
Incidence of retrograde peri-implantitis in sites with previous apical surgeries: A retrospective study,apicoectomy; complications; dental implants; peri-implantitis,JAN,2021,
Diagnosis of peri-implant status after peri-implantitis surgical treatment: Proposal of a new classification,classification; dental implants; diagnosis; disease management; peri-implantitis,DEC,2020,
Laser identification of residual microislands of calculus and their removal with chelation,Calculus; chelation; periodontal surgery; regeneration; root planing,DEC,2020,
Transcriptional activity of vitamin D receptor in human periodontal ligament cells is diminished under inflammatory conditions,inflammation; mesenchymal stem cells; periodontal ligament; VDR; vitamin D,JAN,2021,
Omega-3 PUFA and aspirin as adjuncts to periodontal debridement in patients with periodontitis and type 2 diabetes mellitus: Randomized clinical trial,aspirin; diabetes; immunomodulation; inflammation; omega-3 fatty acids; periodontitis,OCT,2020,
Interspecies comparison of alveolar bone biology: Tooth extraction socket healing in mini pigs and mice,bone biology; bone regeneration; periodontal regeneration; stomatology; wound healing,DEC,2020,
miRNA-21 deficiency impairs alveolar socket healing in mice,bone regeneration; mice; microRNA; mir-21; tooth extraction,DEC,2020,
Shifting the paradigm from inhibitors of inflammation to resolvers of inflammation in periodontitis,inflammation; lipoxin; microbial dysbiosis; periodontal disease; pharmacology; resolvin,OCT,2020,
Periodontal regeneration by leukocyte and platelet-rich fibrin with autogenous bone graft versus enamel matrix derivative with autogenous bone graft in the treatment of periodontal intrabony defects: A randomized non-inferiority trial,clinical trials; dental enamel proteins; grafts; platelet-rich fibrin; regeneration; wound healing,DEC,2020,
Gingival phenotype modification therapies on natural teeth: A network meta-analysis,evidence-based dentistry; gingiva; gingival recession; network meta-analysis; phenotype,NOV,2020,
Better oral hygiene is associated with lower risk of stroke,cerebral hemorrhage; cerebral infarction; oral hygiene; stroke; subarachnoid hemorrhage; toothbrushing,JAN,2021,
Management of medication-related osteonecrosis of jaw: Comparison between icariin and teriparatide in a rat model,animal model; bisphosphonates; icariin; osteonecrosis; teriparatide,JAN,2021,
Protective effects of desipramine on alveolar bone in experimental periodontitis,bone resorption; collagen; desipramine; inflammation; periodontal diseases,DEC,2020,
Therapeutic potential of adipose tissue stem cells for periodontal regeneration,cell biology; periodontal regeneration; periodontitis; wound healing,JUN,2020,
Nicotine suppresses proliferation and mineralized tissue-associated gene expressions of cementoblasts,cementum; gene expression; nicotine; wound healing,JUN,2020,
